t,i0,i1,i2,i3,i4,i5,i6,i7
579,308,0,0,0,0,0,0,0
580,309,0,0,0,0,0,0,0
581,309,0,0,0,0,0,0,0
582,310,0,0,0,0,0,0,0
583,310,0,0,0,0,0,0,0
584,311,0,0,0,0,0,0,0
585,311,0,0,0,0,0,0,0
586,312,0,0,0,0,0,0,0
587,312,0,0,0,0,0,0,0
588,313,0,0,0,0,0,0,0
589,313,0,0,0,0,0,0,0
590,314,0,0,0,0,0,0,0
591,314,0,0,0,0,0,0,0
592,315,0,0,0,0,0,0,0
593,315,0,0,0,0,0,0,0
594,316,0,0,0,0,0,0,0
595,316,0,0,0,0,0,0,0
596,317,0,0,0,0,0,0,0
597,317,0,0,0,0,0,0,0
598,318,0,0,0,0,0,0,0
599,318,0,0,0,0,0,0,0
600,319,0,0,0,0,0,0,0
601,319,0,0,0,0,0,0,0
602,320,0,0,0,0,0,0,0
603,320,0,0,0,0,0,0,0
604,321,0,0,0,0,0,0,0
605,321,0,0,0,0,0,0,0
606,322,0,0,0,0,0,0,0
607,322,0,0,0,0,0,0,0
608,323,0,0,0,0,0,0,0
609,323,0,0,0,0,0,0,0
610,324,0,0,0,0,0,0,0
611,324,0,0,0,0,0,0,0
612,325,0,0,0,0,0,0,0
613,325,0,0,0,0,0,0,0
614,326,0,0,0,0,0,0,0
615,326,0,0,0,0,0,0,0
616,327,0,0,0,0,0,0,0
617,327,0,0,0,0,0,0,0
618,328,0,0,0,0,0,0,0
619,328,0,0,0,0,0,0,0
620,329,0,0,0,0,0,0,0
621,329,0,0,0,0,0,0,0
622,330,0,0,0,0,0,0,0
623,330,0,0,0,0,0,0,0
624,331,0,0,0,0,0,0,0
625,331,0,0,0,0,0,0,0
626,332,0,0,0,0,0,0,0
627,332,0,0,0,0,0,0,0
628,333,0,0,0,0,0,0,0
629,333,0,0,0,0,0,0,0
630,334,0,0,0,0,0,0,0
631,334,0,0,0,0,0,0,0
632,335,0,0,0,0,0,0,0
633,335,0,0,0,0,0,0,0
634,336,0,0,0,0,0,0,0
635,336,0,0,0,0,0,0,0
636,337,0,0,0,0,0,0,0
637,337,0,0,0,0,0,0,0
638,338,0,0,0,0,0,0,0
639,338,0,0,0,0,0,0,0
640,339,0,0,0,0,0,0,0
641,339,0,0,0,0,0,0,0
642,340,0,0,0,0,0,0,0
643,340,0,0,0,0,0,0,0
644,341,0,0,0,0,0,0,0
645,341,0,0,0,0,0,0,0
646,342,0,0,0,0,0,0,0
647,342,0,0,0,0,0,0,0
648,343,0,0,0,0,0,0,0
649,343,0,0,0,0,0,0,0
650,344,0,0,0,0,0,0,0
651,344,0,0,0,0,0,0,0
652,345,0,0,0,0,0,0,0
653,345,0,0,0,0,0,0,0
654,346,0,0,0,0,0,0,0
655,346,0,0,0,0,0,0,0
656,347,0,0,0,0,0,0,0
657,347,0,0,0,0,0,0,0
658,348,0,0,0,0,0,0,0
659,348,0,0,0,0,0,0,0
660,349,0,0,0,0,0,0,0
661,349,0,0,0,0,0,0,0
662,350,0,0,0,0,0,0,0
663,350,0,0,0,0,0,0,0
664,351,0,0,0,0,0,0,0
665,351,0,0,0,0,0,0,0
666,352,0,0,0,0,0,0,0
667,352,0,0,0,0,0,0,0
668,353,0,0,0,0,0,0,0
669,353,0,0,0,0,0,0,0
670,354,0,0,0,0,0,0,0
671,354,0,0,0,0,0,0,0
672,355,0,0,0,0,0,0,0
673,355,0,0,0,0,0,0,0
674,356,0,0,0,0,0,0,0
675,356,0,0,0,0,0,0,0
676,357,0,0,0,0,0,0,0
677,357,0,0,0,0,0,0,0
678,358,0,0,0,0,0,0,0
679,358,0,0,0,0,0,0,0
680,359,0,0,0,0,0,0,0
681,359,0,0,0,0,0,0,0
682,360,0,0,0,0,0,0,0
683,360,0,0,0,0,0,0,0
684,361,0,0,0,0,0,0,0
685,361,0,0,0,0,0,0,0
686,362,0,0,0,0,0,0,0
687,362,0,0,0,0,0,0,0
688,363,0,0,0,0,0,0,0
689,363,0,0,0,0,0,0,0
690,364,0,0,0,0,0,0,0
691,364,0,0,0,0,0,0,0
692,365,0,0,0,0,0,0,0
693,365,0,0,0,0,0,0,0
694,366,0,0,0,0,0,0,0
695,366,0,0,0,0,0,0,0
696,367,0,0,0,0,0,0,0
697,367,0,0,0,0,0,0,0
698,368,0,0,0,0,0,0,0
699,368,0,0,0,0,0,0,0
700,369,0,0,0,0,0,0,0
701,369,0,0,0,0,0,0,0
702,370,0,0,0,0,0,0,0
703,370,0,0,0,0,0,0,0
704,371,0,0,0,0,0,0,0
705,371,0,0,0,0,0,0,0
706,372,0,0,0,0,0,0,0
707,372,0,0,0,0,0,0,0
708,373,0,0,0,0,0,0,0
709,373,0,0,0,0,0,0,0
710,374,0,0,0,0,0,0,0
711,374,0,0,0,0,0,0,0
712,375,0,0,0,0,0,0,0
713,375,0,0,0,0,0,0,0
714,376,0,0,0,0,0,0,0
715,376,0,0,0,0,0,0,0
716,377,0,0,0,0,0,0,0
717,377,0,0,0,0,0,0,0
718,378,0,0,0,0,0,0,0
719,378,0,0,0,0,0,0,0
720,379,0,0,0,0,0,0,0
721,379,0,0,0,0,0,0,0
722,380,0,0,0,0,0,0,0
723,380,0,0,0,0,0,0,0
724,381,0,0,0,0,0,0,0
725,381,0,0,0,0,0,0,0
726,382,0,0,0,0,0,0,0
727,382,0,0,0,0,0,0,0
728,383,0,0,0,0,0,0,0
729,383,0,0,0,0,0,0,0
730,384,0,0,0,0,0,0,0
731,384,0,0,0,0,0,0,0
732,385,0,0,0,0,0,0,0
733,385,0,0,0,0,0,0,0
734,386,0,0,0,0,0,0,0
735,386,0,0,0,0,0,0,0
736,387,0,0,0,0,0,0,0
737,387,0,0,0,0,0,0,0
738,388,0,0,0,0,0,0,0
739,388,0,0,0,0,0,0,0
740,389,0,0,0,0,0,0,0
741,389,0,0,0,0,0,0,0
742,390,0,0,0,0,0,0,0
743,390,0,0,0,0,0,0,0
744,391,0,0,0,0,0,0,0
745,391,0,0,0,0,0,0,0
746,392,0,0,0,0,0,0,0
747,392,0,0,0,0,0,0,0
748,393,0,0,0,0,0,0,0
749,393,0,0,0,0,0,0,0
750,394,0,0,0,0,0,0,0
751,394,0,0,0,0,0,0,0
752,395,0,0,0,0,0,0,0
753,395,0,0,0,0,0,0,0
754,396,0,0,0,0,0,0,0
755,396,0,0,0,0,0,0,0
756,397,0,0,0,0,0,0,0
757,397,0,0,0,0,0,0,0
758,398,0,0,0,0,0,0,0
759,398,0,0,0,0,0,0,0
760,399,0,0,0,0,0,0,0
761,399,0,0,0,0,0,0,0
762,400,0,0,0,0,0,0,0
763,400,0,0,0,0,0,0,0
764,401,0,0,0,0,0,0,0
765,401,0,0,0,0,0,0,0
766,402,0,0,0,0,0,0,0
767,402,0,0,0,0,0,0,0
768,403,0,0,0,0,0,0,0
769,403,0,0,0,0,0,0,0
