t,i,dest_port,size
2020,7,-1,-1
2021,0,0,160
2021,1,0,160
2021,2,-1,-1
2021,3,-1,-1
2021,4,-1,-1
2021,5,-1,-1
2021,6,-1,-1
2021,7,-1,-1
2022,0,0,160
2022,1,0,160
2022,2,-1,-1
2022,3,-1,-1
2022,4,-1,-1
2022,5,-1,-1
2022,6,-1,-1
2022,7,-1,-1
2023,0,0,160
2023,1,0,160
2023,2,-1,-1
2023,3,-1,-1
2023,4,-1,-1
2023,5,-1,-1
2023,6,-1,-1
2023,7,-1,-1
2024,0,0,160
2024,1,0,160
2024,2,-1,-1
2024,3,-1,-1
2024,4,-1,-1
2024,5,-1,-1
2024,6,-1,-1
2024,7,-1,-1
2025,0,0,160
2025,1,0,160
2025,2,-1,-1
2025,3,-1,-1
2025,4,-1,-1
2025,5,-1,-1
2025,6,-1,-1
2025,7,-1,-1
2026,0,0,160
2026,1,0,160
2026,2,-1,-1
2026,3,-1,-1
2026,4,-1,-1
2026,5,-1,-1
2026,6,-1,-1
2026,7,-1,-1
2027,0,0,160
2027,1,0,160
2027,2,-1,-1
2027,3,-1,-1
2027,4,-1,-1
2027,5,-1,-1
2027,6,-1,-1
2027,7,-1,-1
2028,0,0,160
2028,1,0,160
2028,2,-1,-1
2028,3,-1,-1
2028,4,-1,-1
2028,5,-1,-1
2028,6,-1,-1
2028,7,-1,-1
2029,0,0,160
2029,1,0,160
2029,2,-1,-1
2029,3,-1,-1
2029,4,-1,-1
2029,5,-1,-1
2029,6,-1,-1
2029,7,-1,-1
2030,0,0,160
2030,1,0,160
2030,2,-1,-1
2030,3,-1,-1
2030,4,-1,-1
2030,5,-1,-1
2030,6,-1,-1
2030,7,-1,-1
2031,0,0,160
2031,1,0,160
2031,2,-1,-1
2031,3,-1,-1
2031,4,-1,-1
2031,5,-1,-1
2031,6,-1,-1
2031,7,-1,-1
2032,0,0,160
2032,1,0,160
2032,2,-1,-1
2032,3,-1,-1
2032,4,-1,-1
2032,5,-1,-1
2032,6,-1,-1
2032,7,-1,-1
2033,0,0,160
2033,1,0,160
2033,2,-1,-1
2033,3,-1,-1
2033,4,-1,-1
2033,5,-1,-1
2033,6,-1,-1
2033,7,-1,-1
2034,0,0,160
2034,1,0,160
